_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal,Everything Merged,,depDOW
650c3f608386173002aae8c8,04:32.8,EK261,DXB,GRU,21/9/2023 05:05,21/9/2023 20:00,EK261DXBGRU45190.211805555645190.8333333333,,
650c3f618386173002aae8c9,04:33.3,SQ228,MEL,SIN,21/9/2023 05:40,21/9/2023 13:30,SQ228MELSIN45190.236111111145190.5625,,
650c3f618386173002aae8ca,04:33.8,KE17,ICN,LAX,21/9/2023 05:30,21/9/2023 16:40,KE17ICNLAX45190.229166666745190.6944444444,,
650c3f618386173002aae8cb,04:34.0,EK225,DXB,SFO,21/9/2023 05:10,21/9/2023 21:00,EK225DXBSFO45190.215277777845190.875,,
650c3f628386173002aae8cc,04:34.2,EK352,DXB,SIN,21/9/2023 05:40,21/9/2023 13:15,EK352DXBSIN45190.236111111145190.5520833333,,
650c3f628386173002aae8cd,04:34.7,OZ202,ICN,LAX,21/9/2023 05:40,21/9/2023 16:50,OZ202ICNLAX45190.236111111145190.7013888889,,
650c3f638386173002aae8ce,04:35.2,EK29,DXB,LHR,21/9/2023 05:40,21/9/2023 13:25,EK29DXBLHR45190.236111111145190.5590277778,,
650c3f638386173002aae8cf,04:35.7,EK362,DXB,CAN,21/9/2023 06:20,21/9/2023 14:05,EK362DXBCAN45190.263888888945190.5868055556,,
650c3f638386173002aae8d0,04:35.9,EK448,DXB,AKL,21/9/2023 06:05,21/9/2023 21:50,EK448DXBAKL45190.253472222245190.9097222222,,
650c3f648386173002aae8d1,04:36.4,EK763,DXB,JNB,21/9/2023 05:55,21/9/2023 14:15,EK763DXBJNB45190.246527777845190.59375,,
650c3f648386173002aae8d2,04:36.8,EK406,DXB,MEL,21/9/2023 06:05,21/9/2023 19:30,EK406DXBMEL45190.253472222245190.8125,,
650c3f658386173002aae8d3,04:37.3,EK211,DXB,IAH,21/9/2023 05:35,21/9/2023 21:50,EK211DXBIAH45190.232638888945190.9097222222,,
650c3f658386173002aae8d4,04:37.8,EK412,DXB,SYD,21/9/2023 06:25,21/9/2023 20:05,EK412DXBSYD45190.267361111145190.8368055556,,
650c3f658386173002aae8d5,04:38.0,EK8,LHR,DXB,21/9/2023 08:05,21/9/2023 15:10,EK8LHRDXB45190.336805555645190.6319444444,,
650c3f668386173002aae8d6,04:38.5,EK434,DXB,BNE,21/9/2023 06:35,21/9/2023 20:25,EK434DXBBNE45190.274305555645190.8506944444,,
650c3f668386173002aae8d7,04:39.0,QF12,LAX,SYD,21/9/2023 06:40,21/9/2023 21:45,QF12LAXSYD45190.277777777845190.90625,,
