_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal
650c4cdc39ed09d0c37d81eb,2023-09-21 14:02:04.701000,EK28,GLA,DXB,2023-09-21 13:35:00,2023-09-21 21:05:00
650c3f658386173002aae8d4,2023-09-21 13:04:37.785000,EK412,DXB,SYD,2023-09-21 06:25:00,2023-09-21 20:05:00
650c5ab61f1f721d775d60c3,2023-09-21 15:01:10.162000,QR4,LHR,DOH,2023-09-21 14:05:00,2023-09-21 20:50:00
650c3f718386173002aae8ef,2023-09-21 13:04:49.803000,EK369,DPS,DXB,2023-09-21 11:40:00,2023-09-21 20:45:00
650c3f5c8386173002aae8c0,2023-09-21 13:04:28.920000,KE81,ICN,JFK,2023-09-21 01:00:00,2023-09-21 15:05:00
650c3f678386173002aae8d9,2023-09-21 13:04:39.933000,QR6,LHR,DOH,2023-09-21 07:30:00,2023-09-21 14:10:00
650c4cde39ed09d0c37d81ef,2023-09-21 14:02:06.108000,LH424,MUC,BOS,2023-09-21 13:35:00,2023-09-21 21:50:00
650c5ab51f1f721d775d60c1,2023-09-21 15:01:09.492000,EK205,MXP,JFK,2023-09-21 14:10:00,2023-09-21 22:55:00
650c3f608386173002aae8c8,2023-09-21 13:04:32.807000,EK261,DXB,GRU,2023-09-21 05:05:00,2023-09-21 20:00:00
650c4cd739ed09d0c37d81e0,2023-09-21 14:01:59.824000,EK124,IST,DXB,2023-09-21 13:25:00,2023-09-21 17:50:00
650c68d46faec3fa0f5a08c5,2023-09-21 16:01:24.693000,EK232,IAD,DXB,2023-09-21 14:55:00,2023-09-22 04:05:00
650c4cdb39ed09d0c37d81e8,2023-09-21 14:02:03.158000,EK40,BHX,DXB,2023-09-21 13:40:00,2023-09-21 20:45:00
650c3f708386173002aae8eb,2023-09-21 13:04:48.108000,SQ424,SIN,BOM,2023-09-21 11:00:00,2023-09-21 16:40:00
650c932261ef37facca0c4b5,2023-09-21 19:01:54.393000,EK353,SIN,DXB,2023-09-21 16:50:00,2023-09-22 00:15:00
650cd989d8f21ca9fdf7d199,2023-09-22 00:02:17.267000,EK322,DXB,ICN,2023-09-21 23:40:00,2023-09-22 08:00:00
650cf59a428c11d50b243a2e,2023-09-22 02:02:02.611000,SQ308,SIN,LHR,2023-09-22 01:00:00,2023-09-22 14:40:00
650c932161ef37facca0c4b4,2023-09-21 19:01:53.902000,EK764,JNB,DXB,2023-09-21 17:15:00,2023-09-22 01:30:00
650c3f6f8386173002aae8ea,2023-09-21 13:04:47.618000,EK435,BNE,DXB,2023-09-21 11:00:00,2023-09-22 01:10:00
